ID_Ra_500prod,Navn,DSK Kategori,Name,DSK Category,Unit,Agriculture,iLUC,Food processing,Packaging,Transport,Retail,Total kg CO2-eq/kg,Energi (KJ/100 g),Fedt (g/100 g),Kulhydrat (g/100 g),Protein (g/100 g),Data sources,Comments,"GPC brick no, level 4",ID_food,ID_pack,ID_retail,GPC Category,GPC Kategori,"GPC brick no, level 4.1",Unnamed: 26,"GPC brick no, level 1",Unnamed: 28,"GPC brick no, level 2",Unnamed: 30,"GPC brick no, level 3",Unnamed: 32,Ekstra kategorier
Ra00001,"Peberfrugt, rød, rå",Grøntsager,"Pepper, sweet, red, raw",Vegetables,kg,0.2516181051594364,0.0335444203729766,0.0,0.1406239708057012,0.5822151027583192,0.009920946706367229,1.0179225458028007,133.0,0.1,5.2,0.9,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006191,Cm039,Pa059,Ma0332,Vegetables,Grøntsager,10006191,Square Tapering Sweet Peppers (Peg Top),50000000.0,Food/Beverage/Tobacco,50260000.0,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260400.0,Peppers,
Ra00002,"Tomat, uspec., rå",Grøntsager,"Tomato, ripe, raw, origin unknown",Vegetables,kg,0.06640700455585791,0.00808101060012139,0.0,0.1406239708057012,0.4762129644104617,0.009920946706367229,0.7012458970785094,87.0,0.1,3.2,0.8,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006165,Cm167,Pa059,Ma0332,Vegetables,Grøntsager,10006165,Tomatoes – Round,50000000.0,Food/Beverage/Tobacco,50260000.0,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260300.0,Tomatoes,
Ra00003,"Squash, rå",Grøntsager,"Squash, raw",Vegetables,kg,0.14188430681607228,0.0404865514272889,0.0,0.06481263566028776,0.5776758579674792,0.009920946706367229,0.8347802985774955,81.0,0.2,2.4,1.4,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006355,Cm135,Pa040,Ma0332,Vegetables,Grøntsager,10006355,Squash (Calabaza),50000000.0,Food/Beverage/Tobacco,50260000.0,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260700.0,Cucurbits – Edible Peel,
Ra00004,"Aubergine, rå",Grøntsager,"Aubergine, raw",Vegetables,kg,0.15801035939105637,0.01984415863803554,0.0,0.1406239708057012,0.6462769813948896,0.009920946706367229,0.97467641693605,83.0,0.1,3.1,0.9,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006128,Cm056,Pa059,Ma0332,Vegetables,Grøntsager,10006128,Aubergines,50000000.0,Food/Beverage/Tobacco,50260000.0,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260500.0,Solanacea/Others,
Ra00005,"Tomat, soltørret",Grøntsager,"Tomato, dried",Vegetables,kg,0.9059035671417479,0.09182967402101994,-5.551115123125783e-17,0.2605219714391335,0.677567549802,0.009920946706367229,1.9457437091102685,1187.0,3.0,43.5,14.1,Data on inputs and outputs of the food processing industry is modelled using: Wikipedia (2020); Bahçıvanoğlu (2020).,"It has been assumed that the food processing industry is located in Italy. According to Wikipedia (2020) between 8 and 14 kg fresh tomato are needed per kg sun-dried tomato. We also include land use for sun-drying, from a producer in Turkey (Bahçıvanoğlu). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000272,Fa0152,Pa066,Ma0332,Vegetables,Grøntsager,10000272,Vegetables – Prepared/Processed (Shelf Stable),50000000.0,Food/Beverage/Tobacco,50100000.0,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,50102100.0,Vegetables – Prepared/Processed,
Ra00006,"Græskar, rå",Grøntsager,"Pumpkin, raw",Vegetables,kg,0.14188430681607228,0.0404865514272889,0.0,0.06481263566028776,0.5776758579674792,0.009920946706367229,0.8347802985774955,75.0,0.1,3.3,0.6,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006038,Cm135,Pa040,Ma0332,Vegetables,Grøntsager,10006038,Pumpkins/Winter Squash,50000000.0,Food/Beverage/Tobacco,50260000.0,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260900.0,Cucurbits – Inedible Peel,
Ra00007,"Agurk, rå",Grøntsager,"Cucumber, raw",Vegetables,kg,0.0503746754293411,0.007520139886615879,0.0,0.1406239708057012,0.3472319799771298,0.009920946706367229,0.5556717128051551,50.0,0.0,1.6,0.7,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006014,Cm053,Pa059,Ma0332,Vegetables,Grøntsager,10006014,Cucumbers,50000000.0,Food/Beverage/Tobacco,50260000.0,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260600.0,Cucumbers,
Ra00008,"Drueagurk (sylteagurk), rå",Grøntsager,"Gherkin cucumber, raw",Vegetables,kg,0.0503746754293411,0.007520139886615879,0.0,0.1406239708057012,0.3472319799771298,0.009920946706367229,0.5556717128051551,70.0,0.1,2.1,1.2,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006449,Cm053,Pa059,Ma0332,Vegetables,Grøntsager,10006449,Gherkins,50000000.0,Food/Beverage/Tobacco,50260000.0,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260600.0,Cucumbers,
Ra00009,"Peber, chili, rå",Grøntsager,"Pepper, hot chili, raw",Vegetables,kg,0.2516181051594364,0.0335444203729766,0.0,0.1406239708057012,0.5822151027583192,0.009920946706367229,1.0179225458028007,187.0,0.2,7.7,2,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006102,Cm039,Pa059,Ma0332,Vegetables,Grøntsager,10006102,Chilli Peppers,50000000.0,Food/Beverage/Tobacco,50260000.0,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260400.0,Peppers,
Ra00010,"Oksekød, inderlår uden kappe, rå",Kød/fjerkræ,"Beef, topside, cap off, raw",Meat/poultry,kg,39.64903098366864,7.682564523726547,-2.410375158808385,0.1406239708057012,0.6284535532826891,0.0003263600625320798,45.69062423273772,472.0,2.5,0,22.3,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).,"It has been assumed that the food processing industry is located in Denmark. Basic mass balance from the Product Environmental Footprint Category 1 Rules Guidance, table 24 in Eurpean Commission (2018), while distribution of fresh meat into different cuts is obtained from the University of Tennessee (2014), except the weight of tenederloin, which is estimated as 1/3 of the weight of porterhouse steak. Inputs of water and energy from Blonk (2015).  Different beef cuts and minced meat are co-determining products. A change in demand for one of the co-products will adjust so that they have the same market trend. A change in demand for one of the co-products will affect the production volume of the multiple output process in proportion to its share in the gross margin of the co-product (Schmidt 2010). This is equivalent to the result of an economic allocation. Prices for all determining co-products have been obtained from Bringhurst meats (2020). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10005786,Fa0034,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000.0,Food/Beverage/Tobacco,50240000.0,Meat/Poultry/Other Animals,50240200.0,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
